Speed,Heading,Steering,Accelerate,X,Y,Lateral,Beta,Yaw
7.695457397,-1.742827842,0.050233587,0.29389976,118.7903304,-26.20133265,-0.212806119,0.025132649,-1.717695193
7.760663449,-1.868033436,-0.392699082,0.326030262,118.1641792,-27.6110773,-0.305688566,-0.204219571,-2.072253007
7.819443401,-1.852392006,0.050233587,0.29389976,117.7538001,-29.11202401,-0.04438929,0.025132649,-1.827259357
7.885752682,-1.979615144,-0.392699082,0.331546403,116.9638459,-30.46576959,-0.067503938,-0.204219571,-2.183834715
7.950958734,-2.107908135,-0.392699082,0.326030262,116.0000418,-31.71843749,-0.167624576,-0.204219571,-2.312127705
8.015789472,-2.237257014,-0.392699082,0.324153692,114.8743186,-32.84630294,-0.346174608,-0.204219571,-2.441476585
8.074569424,-2.221102678,0.050233587,0.29389976,113.9198261,-34.13920254,-0.158664162,0.025132649,-2.19597003
8.139775477,-2.352459077,-0.392699082,0.326030262,112.6539242,-35.14724905,-0.262701508,-0.204219571,-2.556678648
8.204606215,-2.484871364,-0.392699082,0.324153692,111.2554643,-35.98700444,-0.448279164,-0.204219571,-2.689090935
8.267519341,-2.518867455,-0.103095676,0.314565629,109.8919288,-36.90730047,-0.411557872,-0.051685174,-2.57055263
8.326299293,-2.502207042,0.050233587,0.29389976,108.5759245,-37.91483492,-0.138283289,0.025132649,-2.477074393
8.387758613,-2.637627304,-0.392699082,0.3072966,107.0329834,-38.54911539,-0.162345477,-0.204219571,-2.841846875
8.452964665,-2.774064959,-0.392699082,0.326030262,105.4062802,-38.97188211,-0.272856868,-0.204219571,-2.97828453
8.521486117,-2.911578463,-0.392699082,0.34260726,103.7239774,-39.17041692,-0.471229109,-0.204219571,-3.115798034
8.585770656,-2.930830106,-0.056300847,0.321422696,102.0479397,-39.50218964,-0.390577321,-0.028172749,-2.959002855
8.650055195,-2.950226616,-0.056300847,0.321422696,100.3531539,-39.8038078,-0.193043622,-0.028172749,-2.978399365
8.716319022,-3.055056055,-0.296688634,0.331319131,98.61944881,-39.81202765,-0.187972348,-0.151681789,-3.206737844
8.780189894,-3.057194301,-0.00611789,0.319354363,96.87790911,-39.95649599,-0.043504005,-0.003058974,-3.060253274
8.849959844,-3.159630133,-0.28596493,0.348849751,95.12595775,-39.78829735,-0.211702649,-0.145966256,-3.305596388
8.904167952,-3.074407108,0.237440897,0.271040536,93.36797147,-40.01954043,0.019540426,0.120417588,-2.95398952
8.969131675,-3.219221802,-0.392699082,0.324818619,91.61472823,-39.69088434,-0.30911566,-0.204219571,-3.423441373
9.01091754,-3.073478468,0.392699082,0.208929323,89.93498256,-40.00203448,0.002034477,0.204219571,-2.869258897
5.050765873,0.037458078,0.185325681,0.253829366,90.52102741,0.106105631,0.106105631,0.093465356,0.130923434
5.109759942,-0.044805808,-0.392699082,0.294970345,91.51580608,-0.089528253,-0.089528253,-0.204219571,-0.249025379
5.152465102,0.038327121,0.392699082,0.213525798,92.52245837,0.101071089,0.101071089,0.204219571,0.242546692
5.211459171,-0.045586759,-0.392699082,0.294970345,93.53724297,-0.098160914,-0.098160914,-0.204219571,-0.24980633
5.25416433,0.039196163,0.392699082,0.213525798,94.56390928,0.095982279,0.095982279,0.204219571,0.243415734
5.313158399,-0.046367709,-0.392699082,0.294970345,95.59870158,-0.106834977,-0.106834977,-0.204219571,-0.25058728
5.361057803,0.000616169,0.218229997,0.239497017,96.66105466,-0.021960824,-0.021960824,0.110429734,0.111045903
5.421435883,-0.004414287,-0.023367925,0.301890403,97.737203,-0.035678368,-0.035678368,-0.011685558,-0.016099845
5.485720423,-0.0166799,-0.056300847,0.321422696,98.82503774,-0.075593206,-0.075593206,-0.028172749,-0.044852649
5.550004962,-0.029090379,-0.056300847,0.321422696,99.92513977,-0.129529759,-0.129529759,-0.028172749,-0.057263128
5.614289501,-0.041645725,-0.056300847,0.321422696,101.0373169,-0.197957213,-0.170806247,-0.028172749,-0.069818474
5.676797306,-0.038096904,0.015743383,0.312539026,102.163743,-0.23468113,-0.116599544,0.007872179,-0.030224725
5.741628045,-0.130549241,-0.392699082,0.324153692,103.2608307,-0.542013688,-0.270675419,-0.204219571,-0.334768811
5.800407996,-0.11896688,0.050233587,0.29389976,104.4071326,-0.658829181,-0.163072162,0.025132649,-0.093834231
5.865238735,-0.213424706,-0.392699082,0.324153692,105.4987047,-1.063073695,-0.280899335,-0.204219571,-0.417644277
5.920722078,-0.188790822,0.104431776,0.277416717,106.6617049,-1.242241427,-0.094427441,0.052358644,-0.136432178
5.985928131,-0.285202682,-0.392699082,0.326030262,107.744023,-1.732272785,-0.158635374,-0.204219571,-0.489422253
6.051134183,-0.382672461,-0.392699082,0.326030262,108.7852276,-2.331073148,-0.267509034,-0.204219571,-0.586892032
6.109914135,-0.370467869,0.050233587,0.29389976,109.9243043,-2.751355666,-0.100061646,0.025132649,-0.34533522
6.175120187,-0.469949227,-0.392699082,0.326030262,110.9306052,-3.451459416,-0.167392388,-0.204219571,-0.674168798
6.24032624,-0.570488504,-0.392699082,0.326030262,111.872016,-4.256841753,-0.282196005,-0.204219571,-0.774708075
